Date,State,Cases_Total,Cases_White,Cases_Black,Cases_Latinx,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_Latinx,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown,Hosp_Total,Hosp_White,Hosp_Black,Hosp_Latinx,Hosp_Asian,Hosp_AIAN,Hosp_NHPI,Hosp_Multiracial,Hosp_Other,Hosp_Unknown,Hosp_Ethnicity_Hispanic,Hosp_Ethnicity_NonHispanic,Hosp_Ethnicity_Unknown,Tests_Total,Tests_White,Tests_Black,Tests_Latinx,Tests_Asian,Tests_AIAN,Tests_NHPI,Tests_Multiracial,Tests_Other,Tests_Unknown,Tests_Ethnicity_Hispanic,Tests_Ethnicity_NonHispanic,Tests_Ethnicity_Unknown
2021-03-07,NE,201608,104512,5117,0,2809,1257,224,0,3861,83828,23560,82131,95917,2091,1360,58,0,30,26,1,0,26,590,161,1095,835,6147,4318,304,0,133,93,12,0,174,1113,1064,3538,1545,2421684,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,NH,76861,39457,1025,4157,1036,87,0,394,2066,28639,4157,44065,28639,1184,1110,13,30,12,1,0,2,12,4,30,1150,4,1131,865,38,99,40,0,0,0,25,64,99,968,64,1497185,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,NJ,812609,268537,69860,161066,30370,0,0,0,107239,175537,161066,476006,175537,23574,12932,3743,4338,1178,0,0,0,912,471,4338,18765,471,64396,26086,11312,15832,2843,0,0,0,4241,4082,15832,44482,4082,10999550,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,NM,186922,32321,2360,87747,1688,30459,288,0,4912,27147,87747,72028,27147,3808,1097,49,1471,27,1064,0,0,0,100,1471,2237,100,13252,2460,141,4885,118,3966,24,0,177,1481,4885,6886,1481,2783542,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,NV,296190,108109,22510,106628,24287,1480,0,0,33173,3,106628,189559,3,5037,2719,468,1203,594,45,0,0,5,3,1203,3831,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1427948,675419,137083,249890,99956,11423,0,0,254174,3,249890,1178055,3
2021-03-07,NY,1681169,0,0,0,0,0,0,0,0,1681169,0,0,1681169,48591,17007,9812,9968,3011,0,0,0,2834,5959,9968,32664,5959,89995,21649,23650,28494,8213,0,0,0,0,7989,28494,53512,7989,39695100,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,OH,978471,579544,101785,0,13511,1055,693,23359,53199,205325,30674,618476,329321,17656,15026,2157,0,139,16,3,26,129,160,302,17199,155,50881,35458,9272,0,631,65,55,1691,1290,2419,1710,42785,6386,10257157,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,OK,428997,244180,23119,0,7852,41839,0,0,14388,97619,42955,267383,118659,4534,3255,271,0,57,399,0,0,119,433,232,3635,667,0,0,0,0,0,0,0,0,0,0,0,0,0,3575297,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,OR,157285,76447,3791,0,4850,2769,1404,2534,36783,28707,40965,78492,37828,2296,1531,46,0,58,41,20,47,183,370,211,1475,610,8714,5270,273,0,311,220,146,160,1585,749,1765,5410,1539,3850973,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,PA,948643,487131,81180,0,16176,0,0,0,12096,352060,59427,252700,636516,24349,19497,2829,0,379,0,0,0,1,1643,982,23280,87,0,0,0,0,0,0,0,0,0,0,0,0,0,10681716,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,PR,101327,0,0,0,0,0,0,0,0,101327,0,0,0,2059,0,0,0,0,0,0,0,0,2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3123348,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,RI,128121,59389,7780,31023,2342,309,0,1200,2332,23746,31023,73352,23746,2541,1816,104,207,37,1,0,1,1,374,207,1960,374,9020,4280,593,1886,167,20,0,39,203,1832,1886,5302,1832,802636,219702,18349,54284,8702,4717,521,3660,20203,472498,54284,275854,472498
2021-03-07,SC,525865,238659,107296,0,5178,0,0,0,57311,117421,29233,307580,189052,8754,4727,2408,0,54,0,0,0,389,1176,211,6437,2106,20725,10646,7383,0,166,0,0,0,1166,1364,998,16674,3053,5183044,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,SD,113589,84776,2519,4145,1468,13518,0,0,1662,5501,4145,103943,5501,1900,1499,7,23,16,265,0,0,14,76,23,1801,76,6705,4785,134,170,72,1305,0,0,71,168,170,6367,168,701924,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,TN,783484,489782,102220,0,6937,1032,564,0,61751,121198,48832,522046,212606,11547,8730,1994,0,67,9,6,0,385,356,303,10314,930,0,0,0,0,0,0,0,0,0,0,0,0,0,6872745,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,TX,2686818,25581,12672,27728,933,0,0,0,428,2619476,27728,39614,2619476,44451,18276,4252,20453,898,0,0,0,231,341,20453,23657,341,0,0,0,0,0,0,0,0,0,0,0,0,0,19907384,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,UT,374850,238411,5001,77215,7107,5016,8931,0,26238,34321,77215,263314,34321,1976,1329,18,282,59,72,57,0,119,119,282,1575,119,14891,9312,246,3268,349,459,765,0,1114,360,3268,11263,360,2248121,1508818,29013,282286,42053,23644,32491,0,131519,268832,282286,1697003,268832
2021-03-07,VA,585700,235269,99166,76875,19984,756,0,5823,15947,131880,76875,376945,131880,9596,6002,2262,640,337,24,0,62,66,203,640,8753,203,24661,10858,6760,4376,1087,36,0,194,494,856,4376,19429,856,6038209,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,VI,2714,0,0,0,0,0,0,0,0,2714,0,0,2714,25,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,VT,16083,12735,613,0,746,20,0,0,414,1555,368,13160,2555,208,185,2,0,5,1,0,0,2,13,0,179,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1124215,0,0,0,0,0,0,0,0,0,0,0,0
